,MC dropout 400,MC dropout 400,MC dropout 400,MC dropout 400,MC dropout 400,PBP,PBP,PBP,PBP,PBP,PNN,PNN,PNN,PNN,PNN,PNN-E,PNN-E,PNN-E,PNN-E,PNN-E,NLM,NLM,NLM,NLM,NLM,NLM-E,NLM-E,NLM-E,NLM-E,NLM-E,DNNC-R,DNNC-R,DNNC-R,DNNC-R,DNNC-R
,rmse,crps,log_score,picp,mpiw,rmse,crps,log_score,picp,mpiw,rmse,crps,log_score,picp,mpiw,rmse,crps,log_score,picp,mpiw,rmse,crps,log_score,picp,mpiw,rmse,crps,log_score,picp,mpiw,rmse,crps,log_score,picp,mpiw
9,2.4546529182110275,0.6916537894559893,-1.4423005986634478,1.0,8.003660192299051,6.283667675850965,3.176119952211566,-3.222061697972955,0.6907514450867052,11.668422783341962,3.0058145760841515,0.9145017817221633,-1.3062494129167674,0.9898843930635838,6.544793432588488,3.076995028482957,0.9461437832376467,-1.4441297201203949,0.9956647398843931,7.742268561722006,3.2062874709358833,1.0269298678045349,-1.4427739998903897,0.9855491329479769,6.8576962099544,2.861674984516384,0.873810459787284,-1.2994665913056935,0.9971098265895953,7.531227867429566,2.796027071676653,1.2317756209326514,-2.0885640197035165,0.9869942196531792,11.807078241705062
10,2.852087381106953,0.9413012295338171,-1.5347182340901462,0.9971098265895953,7.70685137715548,2.6901234709688446,1.1919388751329218,-2.181588491061058,0.9479768786127167,10.624536861378417,2.708068900791824,0.8797825452597811,-1.4161296253115276,0.9465317919075145,6.026999920615106,2.827965966370292,0.8929418629023169,-1.3839708762814136,0.9942196531791907,6.850403864577557,2.775339117938264,0.8327504786385552,-1.3088753990291164,0.9956647398843931,7.006735194170987,2.7356654064420622,0.9018515849162999,-1.3828714763650045,0.9971098265895953,8.060554462771297,2.050017143088914,0.9303756307186061,-1.8504821090386119,0.9869942196531792,10.201512894739508
11,3.1703750971349596,1.0022735773838156,-1.7229574634274498,1.0,11.883089773677398,2.988179529012289,1.2951958294080195,-2.3159782527879242,0.9263005780346821,10.153230849562956,3.196404761594777,0.9763674732401397,-1.536096134165893,0.9176300578034682,6.234471393920985,2.9625687548080153,0.9358706719594907,-1.4473913500669429,0.9971098265895953,7.951466225079307,2.8475809340472433,0.8315276567311389,-1.3135604313257243,0.9956647398843931,7.041850066696908,2.879256240683413,0.9855628375091995,-1.5633145092011347,1.0,10.709754890714587,2.572041922882027,1.1749530552371767,-2.040621598800107,0.9869942196531792,11.36727603249807
12,2.640642479779098,0.7646738111333853,-1.4219594120892096,0.9927745664739884,6.96350995829219,2.8264192485265354,1.216548120451132,-2.2054322457763136,0.9450867052023122,10.42204442589711,2.747453582579652,0.8785260818816035,-1.3356358059982416,0.953757225433526,5.416295967012935,2.856980761516082,0.9102857172801999,-1.4018256757706984,0.9956647398843931,7.359169210065156,2.769083388109021,0.8403985034104585,-1.2155833242596923,0.9869942196531792,5.963301346384381,2.665057267911534,0.8886788741624833,-1.5596821672972645,0.9985549132947977,9.545286587338326,2.37502043494509,0.9780850707365718,-1.7964985089395864,0.9884393063583815,9.129583204453466
13,3.1113228673271704,1.0719011555770186,-1.6782413610713292,0.9869942196531792,7.955383520584914,3.3513972898009317,1.2975794853839129,-2.223288770581042,0.9479768786127167,11.023980348511044,3.1129482459796156,1.0173563810561854,-1.461693353753952,0.9913294797687862,8.019005898655529,2.9867130851422594,0.9088775010755006,-1.3788607511563975,0.9942196531791907,7.233216177864209,2.926621224127658,0.8644542008509295,-1.1799733811883937,0.9710982658959537,6.391762109833607,2.810500121815872,0.8633902230185755,-1.3255495780350617,0.9971098265895953,8.088638615959738,2.234750761393557,0.9889341796604515,-1.8016862369908908,0.9855491329479769,9.940423015094806
14,3.01584006060722,1.0249668616431171,-1.6713286707553034,0.9956647398843931,8.43010289660058,2.8383700615758687,1.316851761823765,-2.307192435667799,0.9407514450867052,10.49339816036713,3.1169448625248233,1.2037362510970573,-2.1877240845611845,0.7789017341040463,6.750281498036175,3.0537986989814203,1.0377853995536475,-1.5729282287224513,0.9985549132947977,8.613978477221034,2.9347667355364795,0.9055481092147413,-1.328495665595748,0.9956647398843931,7.019322258171058,2.856317632577614,0.8876897056607228,-1.4538894888031046,1.0,8.703979761443746,2.4261802087243574,0.9551206069448176,-1.7891895195790586,0.9812138728323699,9.424688960736875
15,3.030982914175179,1.0368246430553034,-1.7140081287124995,1.0,9.971258482972026,2.939869311155601,1.3146941640640761,-2.2531988506659713,0.9277456647398844,9.869632547331607,2.9972539539268053,0.9338849047683961,-1.412495072367813,0.9812138728323699,7.489085248418537,2.919741562235124,0.8468439461891334,-1.2908524932261718,0.9971098265895953,6.733040456944257,3.014194323687196,0.8480332487784734,-1.1020260939073419,0.9898843930635838,5.8474456005999125,3.006758387883056,0.9476972661320993,-1.4938973679607384,0.9985549132947977,9.161439649027692,2.3085327198611845,0.9712558887686253,-1.7553337009912957,0.976878612716763,9.393631155792754
16,3.239142730820592,1.0088128127700822,-1.533583391701996,1.0,8.254594871082398,3.046406806086824,1.379391037277248,-2.4039783382928426,0.9407514450867052,11.009152093495905,2.888436119281423,0.889818781181527,-1.24527381665668,0.9378612716763006,4.547215767653386,3.0058483294454668,0.9303097966950966,-1.3574982944167084,0.9898843930635838,7.111243127615922,2.95341739031338,0.9245833909402266,-1.257770340807388,0.9927745664739884,7.916379326862985,2.9156405300058488,0.8513107841328832,-1.291965708630931,0.9971098265895953,7.035084557807453,2.0654804104949602,0.8710735777210896,-1.8158054502491772,0.9812138728323699,9.106854102401934
17,4.641854286744172,1.2517181999211153,-1.7846754679062686,1.0,15.140513008291169,3.0541561606770493,1.3178439682435241,-2.3692726496059264,0.9508670520231214,10.699706341473817,3.2067772882623724,1.059291653958116,-2.1769426640537435,0.8338150289017341,7.172345362085882,2.936369488964219,0.9159155640201182,-1.4148669179644688,0.9985549132947977,7.481365559020473,3.048082297748437,0.9067619521855935,-1.4259253185126908,0.9956647398843931,9.431335733948158,2.940493378354103,0.9008391390772769,-1.3795351016328514,0.9985549132947977,7.609104373676813,2.539061087186372,0.9677016310926055,-1.8032817438894295,0.9826589595375722,9.604270719458157
18,2.726360551979279,0.8894489626815072,-1.4464667334022145,0.9927745664739884,6.525794247007194,2.693087504175092,1.2994547949829607,-2.30427869427766,0.9364161849710982,10.328413216408263,2.69759637918631,0.9376604246585447,-1.5788602869811827,0.9985549132947977,7.776352489566863,2.8343793121705154,0.9196389527874264,-1.505051382677489,0.9985549132947977,7.997650869540791,2.857947602399031,0.8472040234356736,-1.255414323685365,0.9913294797687862,6.077903832217984,2.6305830805217174,0.8549441669173937,-1.4404676599523285,0.9985549132947977,7.913758024502994,2.121458267029223,0.8966769592614159,-1.6312952616939762,0.9638728323699421,8.05060549898178
